Generation,Age,Count
Gen Z,17,1
Gen Z,18,16641
Gen Z,19,57124
Gen Z,20,83136
Gen Z,21,91394
Gen Z,22,116562
Gen Z,23,126671
Gen Z,24,126453
Millenial,25,105987
Gen Z,25,23989
Millenial,26,132876
Millenial,27,134193
Millenial,28,135950
Millenial,29,135173
Millenial,30,137804
Millenial,31,136698
Millenial,32,134509
Millenial,33,128496
Millenial,34,126117
Millenial,35,127063
Millenial,36,126899
Millenial,37,120253
Millenial,38,123313
Millenial,39,123646
Millenial,40,124860
Millenial,41,122737
Millenial,42,119669
Millenial,43,114644
Millenial,44,53462
Gen X,44,61415
Gen X,45,109567
Gen X,46,113149
Gen X,47,110536
Gen X,48,114478
Gen X,49,120938
Gen X,50,132023
Gen X,51,130247
Gen X,52,124598
Gen X,53,120939
Gen X,54,124025
Gen X,55,124813
Baby Boomer,56,49297
Gen X,56,81559
Baby Boomer,57,135796
Baby Boomer,58,135903
Baby Boomer,59,136969
Baby Boomer,60,141645
Baby Boomer,61,138137
Baby Boomer,62,139627
Baby Boomer,63,139607
Baby Boomer,64,140095
Baby Boomer,65,134051
Baby Boomer,66,129881
Baby Boomer,67,127522
Baby Boomer,68,119424
Baby Boomer,69,117043
Baby Boomer,70,113081
Baby Boomer,71,104720
Baby Boomer,72,104166
Baby Boomer,73,100291
Baby Boomer,74,105538
Baby Boomer,75,79301
Silent,75,4990
Silent,76,67765
Silent,77,65730
Silent,78,68728
Silent,79,66485
Silent,80,57649
Silent,81,51137
Silent,82,47188
Silent,83,46062
Silent,84,41935
Silent,85,37722
Silent,86,34492
Silent,87,31826
Silent,88,26975
Silent,89,25042
Silent,90,22885
Silent,91,20848
Silent,92,17904
Silent,93,15102
Silent,94,13092
Silent,95,10562
Silent,96,8208
Silent,97,6414
Silent,98,4823
Silent,99,3479
Silent,100,2541
Silent,101,1668
Silent,102,1101
Silent,103,717
Silent,104,439
Silent,105,280
Silent,106,167
Silent,107,105
Silent,108,67
Silent,109,39
Silent,110,22
Silent,111,18
Silent,112,15
Silent,113,10
Silent,114,8
Silent,115,6
Silent,116,8
Silent,117,6
Silent,118,10
Silent,119,4
Silent,120,9
Silent,121,47
Silent,122,163
Silent,123,2
Silent,136,1
Silent,224,1174
